38	2023-01-13 08:15:19	1	0	0	1
38	2023-01-13 08:15:22	1	0	0	1
27	2023-01-13 08:15:46	1	0	0	2
27	2023-01-13 08:15:48	1	0	0	1
26	2023-01-13 08:15:51	1	0	0	1
37	2023-01-13 08:15:54	1	0	0	1
18	2023-01-13 08:16:04	1	0	0	1
18	2023-01-13 08:16:06	1	0	0	1
32	2023-01-13 08:16:36	1	0	0	1
35	2023-01-13 08:46:38	1	0	0	2
31	2023-01-13 08:16:42	1	0	0	1
31	2023-01-13 08:16:44	1	0	0	1
3	2023-01-13 08:16:47	1	0	0	1
3	2023-01-13 08:16:49	1	0	0	1
24	2023-01-13 08:37:29	1	0	0	2
20	2023-01-13 08:20:39	1	0	0	1
20	2023-01-13 08:20:40	1	0	0	1
16	2023-01-13 08:20:43	1	0	0	2
16	2023-01-13 08:20:46	1	0	0	2
14	2023-01-13 08:21:21	1	0	0	1
20	2023-01-13 08:21:32	1	0	0	1
9	2023-01-13 08:21:50	1	0	0	1
9	2023-01-13 08:21:53	1	0	0	1
19	2023-01-13 08:23:40	1	0	0	1
19	2023-01-13 08:23:42	1	0	0	2
42	2023-01-13 08:23:44	1	0	0	1
6	2023-01-13 08:24:19	1	0	0	2
6	2023-01-13 08:24:22	1	0	0	1
5	2023-01-13 08:24:41	1	0	0	1
21	2023-01-13 08:26:46	1	0	0	1
21	2023-01-13 08:26:48	1	0	0	1
11	2023-01-13 08:27:40	1	0	0	1
11	2023-01-13 08:27:42	1	0	0	1
30	2023-01-13 08:30:15	1	0	0	1
30	2023-01-13 08:30:20	1	0	0	1
36	2023-01-13 08:33:34	1	0	0	1
5	2023-01-13 12:31:03	1	1	0	1
30	2023-01-13 12:13:30	1	1	0	1
24	2023-01-13 12:31:37	1	1	0	2
3	2023-01-13 12:31:50	1	1	0	1
3	2023-01-13 12:31:52	1	1	0	1
16	2023-01-13 12:31:56	1	1	0	2
20	2023-01-13 12:32:27	1	1	0	1
26	2023-01-13 12:32:31	1	1	0	1
20	2023-01-13 12:32:37	1	1	0	1
20	2023-01-13 12:32:39	1	1	0	1
21	2023-01-13 12:32:42	1	1	0	1
14	2023-01-13 12:32:44	1	1	0	1
14	2023-01-13 12:00:45	1	1	0	1
37	2023-01-13 12:33:25	1	1	0	1
36	2023-01-13 12:33:33	1	1	0	1
38	2023-01-13 12:33:41	1	1	0	2
31	2023-01-13 12:34:13	1	1	0	1
31	2023-01-13 12:34:15	1	1	0	1
42	2023-01-13 12:34:21	1	1	0	1
27	2023-01-13 12:34:25	1	1	0	2
21	2023-01-13 17:03:54	1	1	0	1
11	2023-01-13 17:04:16	1	1	0	1
11	2023-01-13 17:04:20	1	1	0	1
21	2023-01-13 17:04:27	1	1	0	1
18	2023-01-13 17:04:48	1	1	0	1
18	2023-01-13 17:04:50	1	1	0	1
11	2023-01-13 17:05:34	1	1	0	1
19	2023-01-13 17:05:37	1	1	0	1
6	2023-01-13 17:05:39	1	1	0	2
27	2023-01-13 12:34:27	1	1	0	1
32	2023-01-13 12:34:30	1	1	0	1
32	2023-01-13 12:34:32	1	1	0	1
35	2023-01-13 12:34:36	1	1	0	2
9	2023-01-13 12:34:41	1	1	0	1
9	2023-01-13 12:34:43	1	1	0	1
19	2023-01-13 12:34:45	1	1	0	1
19	2023-01-13 12:34:47	1	1	0	2
31	2023-01-13 12:34:50	1	1	0	1
38	2023-01-13 12:34:56	1	1	0	2
11	2023-01-13 12:35:04	1	1	0	1
11	2023-01-13 12:35:06	1	1	0	1
18	2023-01-13 12:35:35	1	1	0	1
18	2023-01-13 12:35:37	1	1	0	1
6	2023-01-13 12:37:53	1	1	0	2
30	2023-01-13 12:46:06	1	1	0	1
27	2023-01-13 12:46:20	1	1	0	1
6	2023-01-13 12:58:59	1	1	0	2
4	2023-01-13 13:15:28	1	0	0	1
4	2023-01-13 13:15:30	1	0	0	1
16	2023-01-13 13:15:40	1	0	0	2
16	2023-01-13 13:15:41	1	0	0	2
26	2023-01-13 13:16:05	1	0	0	1
27	2023-01-13 13:16:10	1	0	0	2
27	2023-01-13 13:16:12	1	0	0	1
21	2023-01-13 13:16:16	1	0	0	1
19	2023-01-13 13:16:23	1	0	0	1
19	2023-01-13 13:16:25	1	0	0	2
6	2023-01-13 13:16:36	1	0	0	2
6	2023-01-13 13:16:37	1	0	0	2
24	2023-01-13 13:17:06	1	0	0	2
26	2023-01-13 13:17:33	1	0	0	1
30	2023-01-13 13:18:03	1	0	0	1
30	2023-01-13 13:38:26	1	0	0	1
3	2023-01-13 13:18:32	1	0	0	1
3	2023-01-13 13:18:34	1	0	0	1
5	2023-01-13 13:19:01	1	0	0	1
38	2023-01-13 13:19:15	1	0	0	1
21	2023-01-13 13:39:27	1	0	0	1
35	2023-01-13 13:20:01	1	0	0	2
31	2023-01-13 13:20:04	1	0	0	1
42	2023-01-13 13:20:10	1	0	0	1
32	2023-01-13 13:40:13	1	0	0	1
3	2023-01-13 13:20:46	1	0	0	1
18	2023-01-13 13:22:16	1	0	0	1
18	2023-01-13 13:32:18	1	0	0	1
20	2023-01-13 13:22:27	1	0	0	1
20	2023-01-13 13:22:29	1	0	0	1
11	2023-01-13 13:22:54	1	0	0	1
11	2023-01-13 13:22:56	1	0	0	1
9	2023-01-13 13:22:59	1	0	0	1
9	2023-01-13 13:23:01	1	0	0	1
37	2023-01-13 13:23:33	1	0	0	1
31	2023-01-13 13:24:42	1	0	0	2
42	2023-01-13 13:25:02	1	0	0	1
35	2023-01-13 13:25:05	1	0	0	2
20	2023-01-13 13:25:17	1	0	0	1
32	2023-01-13 13:26:00	1	0	0	1
32	2023-01-13 17:00:13	1	1	0	1
32	2023-01-13 17:00:16	1	1	0	1
35	2023-01-13 17:00:20	1	1	0	2
